Date,Open,High,Low,Close,Adj Close,Volume,MarketCap,EnterpriseValue,PeRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,TotalRevenue,OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,SellingGeneralAndAdministration,OperatingIncome,OtherIncomeExpense,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,NetIncome,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,TotalAssets,CurrentAssets,CashCashEquivalentsAndShortTermInvestments,CashAndCashEquivalents,Receivables,Inventory,TotalNonCurrentAssets,NetPPE,GrossPPE,AccumulatedDepreciation,GoodwillAndOtherIntangibleAssets,OtherIntangibleAssets,OtherNonCurrentAssets,TotalLiabilitiesNetMinorityInterest,CurrentLiabilities,PayablesAndAccruedExpenses,Payables,AccountsPayable,CurrentDebtAndCapitalLeaseObligation,CurrentDebt,TotalNonCurrentLiabilitiesNetMinorityInterest,LongTermDebtAndCapitalLeaseObligation,LongTermDebt,NonCurrentDeferredLiabilities,NonCurrentDeferredTaxesLiabilities,OtherNonCurrentLiabilities,TotalEquityGrossMinorityInterest,StockholdersEquity,RetainedEarnings,TotalCapitalization,CommonStockEquity,NetTangibleAssets,WorkingCapital,InvestedCapital,TangibleBookValue,TotalDebt,ShareIssued,OrdinarySharesNumber,OperatingCashFlow,CashFlowFromContinuingOperatingActivities,NetIncomeFromContinuingOperations,DepreciationAmortizationDepletion,DepreciationAndAmortization,DeferredTax,DeferredIncomeTax,InvestingCashFlow,CashFlowFromContinuingInvestingActivities,NetPPEPurchaseAndSale,PurchaseOfPPE,FinancingCashFlow,CashFlowFromContinuingFinancingActivities,NetIssuancePaymentsOfDebt,NetCommonStockIssuance,CommonStockIssuance,CommonStockPayments,EndCashPosition,ChangesInCash,EffectOfExchangeRateChanges,BeginningCashPosition,CapitalExpenditure,IssuanceOfCapitalStock,RepurchaseOfCapitalStock,FreeCashFlow
9/30/2023,55.91,56.720001,51.549999,56.490002,56.490002,387919000,"242,057,520,000","267,988,520,000",23.228,5.509,9.305,22.42,63.883,"11,953,000,000","11,953,000,000","4,657,000,000","7,296,000,000","4,026,000,000","3,667,000,000","3,270,000,000","387,000,000","3,537,000,000","454,000,000","3,087,000,000","3,087,000,000","3,083,000,000","3,083,000,000","3,087,000,000",0.71,0.71,"4,324,000,000","4,339,000,000","3,270,000,000","8,683,000,000","3,087,000,000","3,087,000,000","3,905,000,000","4,195,000,000","4,657,000,000","290,000,000","3,087,000,000","4,195,000,000",0.128,0,"97,578,000,000","27,867,000,000","15,435,000,000","11,883,000,000","3,495,000,000","4,252,000,000","69,711,000,000","8,860,000,000","18,048,000,000","-9,188,000,000","32,885,000,000","14,741,000,000","7,031,000,000","69,745,000,000","24,409,000,000","18,414,000,000","18,414,000,000","16,837,000,000","5,995,000,000","5,995,000,000","45,336,000,000","34,176,000,000","34,176,000,000","2,733,000,000","2,733,000,000","8,427,000,000","27,833,000,000","26,325,000,000","73,793,000,000","60,501,000,000","26,325,000,000","-6,560,000,000","3,458,000,000","66,496,000,000","-6,560,000,000","40,171,000,000","7,040,000,000","4,324,000,000","4,300,000,000","4,300,000,000","3,083,000,000","290,000,000","290,000,000","57,000,000","57,000,000","-1,657,000,000","-1,657,000,000","-378,000,000","-386,000,000","-3,087,000,000","-3,087,000,000","-1,053,000,000","-44,000,000","65,000,000","-109,000,000","12,210,000,000","-444,000,000","-198,000,000","12,852,000,000","-386,000,000","65,000,000","-109,000,000","3,914,000,000"
6/30/2023,60.200001,63.27,58.84,61.93,61.442528,256289400,"260,391,280,000","288,496,280,000",26.529,6.019,10.326,24.098,81.611,"11,972,000,000","11,972,000,000","4,912,000,000","7,060,000,000","4,659,000,000","3,321,000,000","2,401,000,000","629,000,000","2,880,000,000","359,000,000","2,547,000,000","2,547,000,000","2,521,000,000","2,521,000,000","2,547,000,000",0.59,0.59,"4,325,000,000","4,341,000,000","2,401,000,000","9,571,000,000","2,547,000,000","2,547,000,000","3,254,000,000","3,535,000,000","4,912,000,000","281,000,000","2,547,000,000","3,535,000,000",0.125,0,"98,456,000,000","27,591,000,000","15,694,000,000","12,564,000,000","3,970,000,000","4,646,000,000","70,865,000,000","9,706,000,000","19,233,000,000","-9,527,000,000","33,486,000,000","14,941,000,000","6,592,000,000","70,904,000,000","24,115,000,000","18,116,000,000","18,116,000,000","16,483,000,000","5,999,000,000","5,999,000,000","46,789,000,000","35,626,000,000","35,626,000,000","2,714,000,000","2,714,000,000","8,449,000,000","27,552,000,000","26,013,000,000","72,695,000,000","61,639,000,000","26,013,000,000","-7,473,000,000","3,476,000,000","67,638,000,000","-7,473,000,000","41,625,000,000","7,040,000,000","4,324,000,000","4,469,000,000","4,469,000,000","2,521,000,000","281,000,000","281,000,000","-471,000,000","-471,000,000","-883,000,000","-883,000,000","-322,000,000","-339,000,000","-3,063,000,000","-3,063,000,000","-628,000,000","-106,000,000","130,000,000","-236,000,000","12,852,000,000","523,000,000","49,000,000","12,280,000,000","-339,000,000","130,000,000","-236,000,000","4,130,000,000"
3/31/2023,62.299999,64.989998,61.860001,64.150002,63.164001,213353000,"268,279,750,000","295,797,750,000",28.324,6.275,11.13,26.94,62.789,"10,980,000,000","10,980,000,000","4,317,000,000","6,663,000,000","3,296,000,000","3,185,000,000","3,367,000,000","890,000,000","4,053,000,000","940,000,000","3,107,000,000","3,107,000,000","3,113,000,000","3,113,000,000","3,107,000,000",0.72,0.72,"4,326,000,000","4,345,000,000","3,367,000,000","7,613,000,000","3,107,000,000","3,107,000,000","4,425,000,000","4,711,000,000","4,317,000,000","286,000,000","3,107,000,000","4,711,000,000",0.232,0,"97,404,000,000","26,880,000,000","14,295,000,000","12,004,000,000","4,599,000,000","4,727,000,000","70,524,000,000","9,848,000,000","19,241,000,000","-9,393,000,000","33,575,000,000","14,897,000,000","6,324,000,000","70,536,000,000","23,357,000,000","17,091,000,000","17,091,000,000","15,593,000,000","6,266,000,000","6,266,000,000","47,179,000,000","36,134,000,000","36,134,000,000","3,171,000,000","3,171,000,000","7,874,000,000","26,868,000,000","25,217,000,000","72,137,000,000","61,351,000,000","25,217,000,000","-8,358,000,000","3,523,000,000","67,617,000,000","-8,358,000,000","42,400,000,000","7,040,000,000","4,325,000,000","160,000,000","160,000,000","3,113,000,000","286,000,000","286,000,000","260,000,000","260,000,000","117,000,000","117,000,000","-255,000,000","-276,000,000","2,065,000,000","2,065,000,000","2,900,000,000","-619,000,000","229,000,000","-848,000,000","12,280,000,000","2,342,000,000","113,000,000","9,825,000,000","-276,000,000","229,000,000","-848,000,000","-116,000,000"
12/31/2022,63.560001,63.720001,59.400002,61.32,59.9179,260737100,"275,082,288,723","301,449,288,723",27.899,6.537,12.072,29.773,96.898,"10,125,000,000","10,125,000,000","4,513,000,000","5,612,000,000","3,537,000,000","3,431,000,000","2,075,000,000","586,000,000","2,500,000,000","444,000,000","2,031,000,000","2,031,000,000","2,056,000,000","2,056,000,000","2,031,000,000",0.47,0.47,"4,326,000,000","4,347,000,000","2,075,000,000","8,050,000,000","2,031,000,000","2,031,000,000","2,804,000,000","3,111,000,000","4,513,000,000","307,000,000","2,031,000,000","3,111,000,000",0.177,0,"92,763,000,000","22,591,000,000","11,631,000,000","9,519,000,000","3,487,000,000","4,233,000,000","70,172,000,000","9,841,000,000","19,075,000,000","-9,234,000,000","33,631,000,000","14,849,000,000","6,189,000,000","66,937,000,000","19,724,000,000","16,952,000,000","16,952,000,000","15,749,000,000","2,772,000,000","2,772,000,000","47,213,000,000","36,377,000,000","36,377,000,000","2,914,000,000","2,914,000,000","7,922,000,000","25,826,000,000","24,105,000,000","71,019,000,000","60,482,000,000","24,105,000,000","-9,526,000,000","2,867,000,000","63,254,000,000","-9,526,000,000","39,149,000,000","7,040,000,000","4,328,000,000","2,950,000,000","2,950,000,000","2,056,000,000","307,000,000","307,000,000","13,000,000","13,000,000","1,426,000,000","1,426,000,000","-679,000,000","-708,000,000","-5,172,000,000","-5,172,000,000","-1,548,000,000","124,000,000","130,000,000","-6,000,000","9,825,000,000","-796,000,000","187,000,000","10,434,000,000","-708,000,000","130,000,000","-6,000,000","2,242,000,000"
9/30/2022,56.360001,60.91,54.02,59.849998,58.069668,325950900,"242,230,480,000","272,512,480,000",25.464,5.898,10.529,24.633,69.008,"11,063,000,000","11,063,000,000","4,566,000,000","6,497,000,000","3,409,000,000","3,279,000,000","3,088,000,000","426,000,000","3,444,000,000","622,000,000","2,825,000,000","2,825,000,000","2,822,000,000","2,822,000,000","2,825,000,000",0.65,0.65,"4,325,000,000","4,346,000,000","3,088,000,000","7,975,000,000","2,825,000,000","2,825,000,000","3,642,000,000","3,949,000,000","4,566,000,000","307,000,000","2,825,000,000","3,949,000,000",0.181,0,"92,471,000,000","24,139,000,000","13,220,000,000","10,127,000,000","3,994,000,000","3,708,000,000","68,332,000,000","9,243,000,000","18,235,000,000","-8,992,000,000","32,946,000,000","14,617,000,000","6,130,000,000","68,035,000,000","21,439,000,000","17,314,000,000","17,314,000,000","16,103,000,000","4,125,000,000","4,125,000,000","46,596,000,000","35,462,000,000","35,462,000,000","3,124,000,000","3,124,000,000","8,010,000,000","24,436,000,000","22,805,000,000","70,893,000,000","58,267,000,000","22,805,000,000","-10,141,000,000","2,700,000,000","62,392,000,000","-10,141,000,000","39,587,000,000","7,040,000,000","4,324,000,000","3,522,000,000","3,522,000,000","2,822,000,000","307,000,000","307,000,000","-8,000,000","-8,000,000","-1,044,000,000","-1,044,000,000","-276,000,000","-289,000,000","-1,128,000,000","-1,128,000,000","-850,000,000","-147,000,000","55,000,000","-202,000,000","10,434,000,000","1,350,000,000","-231,000,000","9,315,000,000","-289,000,000","55,000,000","-202,000,000","3,233,000,000"
6/30/2022,63.119999,64.449997,60.790001,64.169998,61.810516,275802300,"272,716,657,215","304,061,657,215",26.544,6.815,10.977,26.849,108.439,"11,325,000,000","11,325,000,000","4,830,000,000","6,495,000,000","4,154,000,000","3,203,000,000","2,341,000,000","41,000,000","2,284,000,000","384,000,000","1,905,000,000","1,905,000,000","1,900,000,000","1,900,000,000","1,905,000,000",0.44,0.44,"4,331,000,000","4,353,000,000","2,341,000,000","8,984,000,000","1,905,000,000","1,905,000,000","2,482,000,000","2,804,000,000","4,830,000,000","322,000,000","1,905,000,000","2,804,000,000",0.168,0,"93,169,000,000","23,141,000,000","11,619,000,000","8,976,000,000","4,494,000,000","3,621,000,000","70,028,000,000","9,462,000,000","18,561,000,000","-9,099,000,000","33,888,000,000","14,978,000,000","6,470,000,000","68,366,000,000","20,531,000,000","15,385,000,000","15,385,000,000","14,213,000,000","5,146,000,000","5,146,000,000","47,835,000,000","36,755,000,000","36,755,000,000","3,034,000,000","3,034,000,000","8,046,000,000","24,803,000,000","23,005,000,000","69,970,000,000","59,760,000,000","23,005,000,000","-10,883,000,000","2,610,000,000","64,906,000,000","-10,883,000,000","41,901,000,000","7,040,000,000","4,326,000,000","3,923,000,000","3,923,000,000","1,900,000,000","322,000,000","322,000,000","-168,000,000","-168,000,000","-1,291,000,000","-1,291,000,000","-253,000,000","-270,000,000","-975,000,000","-975,000,000","1,433,000,000","-461,000,000","203,000,000","-664,000,000","9,315,000,000","1,657,000,000","-334,000,000","7,992,000,000","-270,000,000","203,000,000","-664,000,000","3,653,000,000"
3/31/2022,62.330002,67.199997,61.720001,64.610001,61.787926,319591200,"268,769,685,040","298,905,685,040",27.556,6.961,11.686,28.492,75.405,"10,491,000,000","10,491,000,000","4,091,000,000","6,400,000,000","2,995,000,000","2,967,000,000","3,405,000,000","157,000,000","3,458,000,000","665,000,000","2,781,000,000","2,781,000,000","2,793,000,000","2,793,000,000","2,781,000,000",0.64,0.64,"4,332,000,000","4,357,000,000","3,405,000,000","7,086,000,000","2,781,000,000","2,781,000,000","3,640,000,000","3,964,000,000","4,091,000,000","324,000,000","2,781,000,000","3,964,000,000",0.192,0,"94,064,000,000","22,156,000,000","10,356,000,000","7,681,000,000","4,641,000,000","3,741,000,000","71,908,000,000","9,784,000,000","18,888,000,000","-9,104,000,000","34,740,000,000","15,142,000,000","6,392,000,000","67,223,000,000","18,787,000,000","14,138,000,000","14,138,000,000","13,272,000,000","4,649,000,000","4,649,000,000","48,436,000,000","37,052,000,000","37,052,000,000","3,132,000,000","3,132,000,000","8,252,000,000","26,841,000,000","24,845,000,000","69,969,000,000","61,897,000,000","24,845,000,000","-9,895,000,000","3,369,000,000","66,546,000,000","-9,895,000,000","41,701,000,000","7,040,000,000","4,331,000,000","623,000,000","623,000,000","2,793,000,000","324,000,000","324,000,000","41,000,000","41,000,000","146,000,000","146,000,000","-201,000,000","-217,000,000","-2,975,000,000","-2,975,000,000","7,000,000","-97,000,000","449,000,000","-546,000,000","7,992,000,000","-2,206,000,000","173,000,000","10,025,000,000","-217,000,000","449,000,000","-546,000,000","406,000,000"
12/31/2021,58.82,61.450001,58.380001,61.009998,57.901939,407891700,"256,083,250,000","282,922,250,000",29.167,6.79,11.547,29.895,81.628,"9,464,000,000","9,464,000,000","4,088,000,000","5,376,000,000","3,704,000,000","3,336,000,000","1,672,000,000","1,382,000,000","2,960,000,000","510,000,000","2,414,000,000","2,414,000,000","2,450,000,000","2,450,000,000","2,414,000,000",0.56,0.56,"4,321,000,000","4,347,000,000","1,672,000,000","7,792,000,000","2,414,000,000","2,414,000,000","3,125,000,000","3,466,000,000","4,088,000,000","341,000,000","2,414,000,000","3,466,000,000",0.173,0,"94,354,000,000","22,545,000,000","12,625,000,000","9,684,000,000","3,512,000,000","3,414,000,000","71,809,000,000","9,920,000,000","18,862,000,000","-8,942,000,000","34,613,000,000","15,250,000,000","6,731,000,000","69,494,000,000","19,950,000,000","15,305,000,000","15,305,000,000","14,619,000,000","4,645,000,000","4,645,000,000","49,544,000,000","38,116,000,000","38,116,000,000","2,821,000,000","2,821,000,000","8,607,000,000","24,860,000,000","22,999,000,000","69,094,000,000","61,115,000,000","22,999,000,000","-11,614,000,000","2,595,000,000","65,760,000,000","-11,614,000,000","42,761,000,000","7,040,128,924","4,325,128,924","3,394,000,000","3,394,000,000","2,450,000,000","341,000,000","341,000,000","168,000,000","168,000,000","-4,684,000,000","-4,684,000,000","-596,000,000","-639,000,000","-195,000,000","-195,000,000","1,417,000,000","202,000,000","209,000,000","-7,000,000","10,025,000,000","-1,485,000,000","-103,000,000","11,613,000,000","-639,000,000","209,000,000","-7,000,000","2,755,000,000"
9/30/2021,52.779999,56.470001,52.400002,56.369999,53.086636,331812000,"226,492,983,346","255,458,983,346",28.059,6.239,10.18,25.439,69.874,"10,042,000,000","10,042,000,000","3,977,000,000","6,065,000,000","3,167,000,000","3,122,000,000","2,898,000,000","328,000,000","3,084,000,000","609,000,000","2,471,000,000","2,471,000,000","2,475,000,000","2,475,000,000","2,471,000,000",0.57,0.57,"4,318,000,000","4,344,000,000","2,898,000,000","7,144,000,000","2,471,000,000","2,471,000,000","3,294,000,000","3,656,000,000","3,977,000,000","362,000,000","2,471,000,000","3,656,000,000",0.197,0,"90,606,000,000","24,240,000,000","14,869,000,000","11,301,000,000","3,889,000,000","3,182,000,000","66,366,000,000","10,058,000,000","19,211,000,000","-9,153,000,000","28,400,000,000","10,945,000,000","6,490,000,000","66,473,000,000","15,990,000,000","13,676,000,000","13,676,000,000","12,830,000,000","2,314,000,000","2,314,000,000","50,483,000,000","39,394,000,000","39,394,000,000","2,688,000,000","2,688,000,000","8,401,000,000","24,133,000,000","22,179,000,000","68,494,000,000","61,573,000,000","22,179,000,000","-6,221,000,000","8,250,000,000","63,887,000,000","-6,221,000,000","41,708,000,000","7,040,000,000","4,319,000,000","3,706,000,000","3,706,000,000","2,475,000,000","362,000,000","362,000,000","226,000,000","226,000,000","166,000,000","166,000,000","-241,000,000","-278,000,000","-1,629,000,000","-1,629,000,000","16,000,000","151,000,000","151,000,000",0,"11,613,000,000","2,243,000,000","-138,000,000","9,508,000,000","-278,000,000","151,000,000",0,"3,428,000,000"
6/30/2021,54.34,57.560001,53.549999,57.029999,53.305889,293385300,"233,305,040,891","265,699,040,891",32.401,6.999,11.462,26.232,55.574,"10,129,000,000","10,129,000,000","3,787,000,000","6,342,000,000","3,326,000,000","3,017,000,000","3,016,000,000","1,311,000,000","3,618,000,000","994,000,000","2,641,000,000","2,641,000,000","2,624,000,000","2,624,000,000","2,641,000,000",0.61,0.61,"4,313,000,000","4,338,000,000","3,016,000,000","7,113,000,000","2,641,000,000","2,641,000,000","4,398,000,000","4,781,000,000","3,787,000,000","383,000,000","2,641,000,000","4,781,000,000",0.275,0,"90,194,000,000","22,481,000,000","13,042,000,000","9,188,000,000","4,036,000,000","3,281,000,000","67,713,000,000","10,547,000,000","19,909,000,000","-9,362,000,000","28,906,000,000","11,213,000,000","6,553,000,000","65,939,000,000","15,299,000,000","13,095,000,000","13,095,000,000","12,124,000,000","2,204,000,000","2,204,000,000","50,640,000,000","39,804,000,000","39,804,000,000","2,486,000,000","2,486,000,000","8,350,000,000","24,255,000,000","22,249,000,000","67,838,000,000","62,053,000,000","22,249,000,000","-6,657,000,000","7,182,000,000","64,257,000,000","-6,657,000,000","42,008,000,000","7,040,000,000","4,315,000,000","3,889,000,000","3,889,000,000","2,624,000,000","383,000,000","383,000,000","123,000,000","123,000,000","2,034,000,000","2,034,000,000","-217,000,000","-234,000,000","-5,326,000,000","-5,326,000,000","-3,749,000,000","159,000,000","159,000,000",0,"9,508,000,000","597,000,000","100,000,000","8,811,000,000","-234,000,000","159,000,000",0,"3,655,000,000"
