name,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"92,763,000,000","94,354,000,000","87,296,000,000","86,381,000,000","83,216,000,000","87,896,000,000","87,270,000,000","89,996,000,000","92,023,000,000","90,055,000,000","86,174,000,000","79,974,000,000","72,921,000,000","48,671,000,000","40,519,000,000","43,269,000,000","29,963,000,000","29,427,000,000","31,327,000,000","27,342,000,000","24,501,000,000","22,417,000,000","20,834,000,000","21,623,000,000","19,145,000,000","16,940,000,000","16,161,000,000","15,041,000,000","13,873,000,000","12,021,000,000","11,051,900,000","10,222,400,000","9,278,200,000","8,282,500,000","7,450,600,000","8,355,600,000","8,373,400,000","6,897,700,000"
	CurrentAssets,"22,591,000,000","22,545,000,000","19,240,000,000","20,411,000,000","24,930,000,000","36,545,000,000","34,010,000,000","33,395,000,000","32,986,000,000","31,304,000,000","30,328,000,000","25,497,000,000","21,579,000,000","17,551,000,000","12,176,000,000","12,105,000,000","8,441,000,000","10,250,000,000","12,094,000,000","8,396,000,000","7,352,000,000","7,171,000,000","6,620,000,000","6,480,000,000","6,380,000,000","5,969,000,000","5,910,000,000","5,450,000,000","5,205,000,000","4,434,000,000","4,247,700,000","4,144,200,000","4,142,800,000","3,603,500,000","3,245,400,000","4,136,200,000","3,739,400,000","2,970,300,000"
		CashCashEquivalentsAndShortTermInvestments,"11,631,000,000","12,625,000,000","10,914,000,000","11,175,000,000","16,115,000,000","20,675,000,000","22,201,000,000","19,900,000,000","21,675,000,000","20,268,000,000","16,551,000,000","14,035,000,000","11,337,000,000","9,213,000,000","4,979,000,000","4,308,000,000","2,590,000,000","4,767,000,000","6,768,000,000","3,482,000,000","2,345,000,000","1,934,000,000","1,892,000,000","1,812,000,000","1,807,000,000","1,737,000,000","1,433,000,000","1,167,000,000","1,386,000,000","998,000,000","955,600,000","1,058,300,000","1,429,600,000","1,096,000,000","1,231,200,000","1,468,300,000","887,700,000","865,200,000"
			CashAndCashEquivalents,"9,519,000,000","9,684,000,000","6,795,000,000","6,480,000,000","9,077,000,000","6,006,000,000","8,555,000,000","7,309,000,000","8,958,000,000","10,414,000,000","8,442,000,000","12,803,000,000","8,517,000,000","9,151,000,000","4,701,000,000","4,093,000,000","2,440,000,000","4,701,000,000","6,707,000,000","3,362,000,000","2,126,000,000","1,866,000,000","1,819,000,000","1,611,000,000","1,648,000,000","1,737,000,000","1,433,000,000","1,167,000,000","1,386,000,000","998,000,000","955,600,000","1,058,300,000","1,429,600,000","1,096,000,000","1,231,200,000","1,468,300,000","887,700,000","865,200,000"
			OtherShortTermInvestments,"2,112,000,000","2,941,000,000","4,119,000,000","4,695,000,000","7,038,000,000","14,669,000,000","13,646,000,000","12,591,000,000","12,717,000,000","9,854,000,000","8,109,000,000","1,232,000,000","2,820,000,000","62,000,000","278,000,000","215,000,000","150,000,000","66,000,000","61,000,000","120,000,000","219,000,000","68,000,000","73,000,000","201,000,000","159,000,000",,,,,,,,,,,,,
		Receivables,"3,487,000,000","3,512,000,000","3,144,000,000","3,971,000,000","3,685,000,000","3,667,000,000","3,856,000,000","3,941,000,000","4,466,000,000","4,873,000,000","4,759,000,000","4,920,000,000","4,430,000,000","3,758,000,000","3,090,000,000","3,317,000,000","2,587,000,000","2,281,000,000","2,171,000,000","2,091,000,000","2,097,000,000","1,882,000,000","1,757,000,000","1,798,000,000","1,666,000,000","1,639,000,000","1,641,000,000","1,750,000,000","1,525,000,000","1,243,000,000","1,085,600,000","969,600,000","951,700,000","820,400,000","784,000,000","1,217,000,000","1,081,600,000","897,200,000"
			AccountsReceivable,"3,487,000,000","3,512,000,000","3,144,000,000","3,971,000,000","3,685,000,000","3,667,000,000","3,856,000,000","3,941,000,000","4,466,000,000","4,873,000,000","4,759,000,000","4,920,000,000","4,430,000,000","3,758,000,000","3,090,000,000","3,317,000,000","2,587,000,000","2,281,000,000","2,171,000,000","2,091,000,000","2,097,000,000","1,882,000,000","1,757,000,000","1,798,000,000",,,,,,,,,,,,,,
				GrossAccountsReceivable,"4,003,000,000","4,028,000,000","3,670,000,000","4,495,000,000","4,186,000,000","4,144,000,000","4,322,000,000","4,293,000,000","4,797,000,000","4,934,000,000","4,812,000,000","5,003,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-516,000,000","-516,000,000","-526,000,000","-524,000,000","-501,000,000","-477,000,000","-466,000,000","-352,000,000","-331,000,000","-61,000,000","-53,000,000","-83,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"4,233,000,000","3,414,000,000","3,266,000,000","3,379,000,000","3,071,000,000","2,655,000,000","2,675,000,000","2,902,000,000","3,100,000,000","3,277,000,000","3,264,000,000","3,092,000,000","2,650,000,000","2,354,000,000","2,187,000,000","2,220,000,000","1,641,000,000","1,424,000,000","1,420,000,000","1,252,000,000","1,294,000,000","1,055,000,000","1,066,000,000","1,076,000,000","890,000,000","959,000,000","952,000,000","1,117,000,000","1,047,000,000","1,049,000,000","1,018,600,000","987,800,000","982,300,000","789,100,000","778,800,000","776,700,000","932,600,000","913,300,000"
			RawMaterials,"2,627,000,000","2,133,000,000","2,106,000,000","2,180,000,000","2,025,000,000","1,729,000,000","1,565,000,000","1,564,000,000","1,615,000,000","1,692,000,000","1,773,000,000","1,680,000,000","1,425,000,000","1,366,000,000","1,191,000,000","1,199,000,000","923,000,000",,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"1,247,000,000","982,000,000","791,000,000","851,000,000","773,000,000","693,000,000","844,000,000","1,032,000,000","1,134,000,000","1,240,000,000","1,171,000,000","1,198,000,000","1,029,000,000","697,000,000","706,000,000","789,000,000","548,000,000",,,,,,,,,,,,,,,,,,,,,
			OtherInventories,"359,000,000","299,000,000","369,000,000","348,000,000","273,000,000","233,000,000","266,000,000","306,000,000","351,000,000","345,000,000","320,000,000","214,000,000","196,000,000","291,000,000","290,000,000","232,000,000","170,000,000",,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"3,240,000,000","2,994,000,000","1,916,000,000","1,886,000,000","2,059,000,000","2,000,000,000","2,481,000,000","2,752,000,000","3,066,000,000","2,886,000,000","2,781,000,000","3,450,000,000","3,162,000,000","2,226,000,000","1,920,000,000","2,260,000,000","1,623,000,000","1,778,000,000","1,735,000,000","1,571,000,000","1,616,000,000","2,300,000,000",,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,"0","7,548,000,000","2,797,000,000","3,900,000,000","679,000,000","0","2,973,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
