Date,Open,High,Low,Close,Adj Close,PercentChangeClose,Percent100,Recommendation,Volume,MarketCap,EnterpriseValue,PeRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,TotalRevenue,OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,SellingGeneralAndAdministration,OperatingIncome,OtherIncomeExpense,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,NetIncome,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,TotalAssets,CurrentAssets,CashCashEquivalentsAndShortTermInvestments,CashAndCashEquivalents,Receivables,Inventory,TotalNonCurrentAssets,NetPPE,GrossPPE,AccumulatedDepreciation,GoodwillAndOtherIntangibleAssets,OtherIntangibleAssets,OtherNonCurrentAssets,TotalLiabilitiesNetMinorityInterest,CurrentLiabilities,PayablesAndAccruedExpenses,Payables,AccountsPayable,CurrentDebtAndCapitalLeaseObligation,CurrentDebt,TotalNonCurrentLiabilitiesNetMinorityInterest,LongTermDebtAndCapitalLeaseObligation,LongTermDebt,NonCurrentDeferredLiabilities,NonCurrentDeferredTaxesLiabilities,OtherNonCurrentLiabilities,TotalEquityGrossMinorityInterest,StockholdersEquity,RetainedEarnings,TotalCapitalization,CommonStockEquity,NetTangibleAssets,WorkingCapital,InvestedCapital,TangibleBookValue,TotalDebt,ShareIssued,OrdinarySharesNumber,OperatingCashFlow,CashFlowFromContinuingOperatingActivities,NetIncomeFromContinuingOperations,DepreciationAmortizationDepletion,DepreciationAndAmortization,DeferredTax,DeferredIncomeTax,InvestingCashFlow,CashFlowFromContinuingInvestingActivities,NetPPEPurchaseAndSale,PurchaseOfPPE,FinancingCashFlow,CashFlowFromContinuingFinancingActivities,NetIssuancePaymentsOfDebt,NetCommonStockIssuance,CommonStockIssuance,CommonStockPayments,EndCashPosition,ChangesInCash,EffectOfExchangeRateChanges,BeginningCashPosition,CapitalExpenditure,IssuanceOfCapitalStock,RepurchaseOfCapitalStock,FreeCashFlow
9/30/2023,55.91,56.720001,51.549999,56.490002,56.490002,0.919,91.94,Sell,387919000,242057520000,267988520000,23.228,5.509,9.305,22.42,63.883,11953000000,11953000000,4657000000,7296000000,4026000000,3667000000,3270000000,387000000,3537000000,454000000,3087000000,3087000000,3083000000,3083000000,3087000000,0.71,0.71,4324000000,4339000000,3270000000,8683000000,3087000000,3087000000,3905000000,4195000000,4657000000,290000000,3087000000,4195000000,0.128,0,97578000000,27867000000,15435000000,11883000000,3495000000,4252000000,69711000000,8860000000,18048000000,-9188000000,32885000000,14741000000,7031000000,69745000000,24409000000,18414000000,18414000000,16837000000,5995000000,5995000000,45336000000,34176000000,34176000000,2733000000,2733000000,8427000000,27833000000,26325000000,73793000000,60501000000,26325000000,-6560000000,3458000000,66496000000,-6560000000,40171000000,7040000000,4324000000,4300000000,4300000000,3083000000,290000000,290000000,57000000,57000000,-1657000000,-1657000000,-378000000,-386000000,-3087000000,-3087000000,-1053000000,-44000000,65000000,-109000000,12210000000,-444000000,-198000000,12852000000,-386000000,65000000,-109000000,3914000000
6/30/2023,60.200001,63.27,58.84,61.93,61.442528,0.973,97.275,Sell,256289400,260391280000,288496280000,26.529,6.019,10.326,24.098,81.611,11972000000,11972000000,4912000000,7060000000,4659000000,3321000000,2401000000,629000000,2880000000,359000000,2547000000,2547000000,2521000000,2521000000,2547000000,0.59,0.59,4325000000,4341000000,2401000000,9571000000,2547000000,2547000000,3254000000,3535000000,4912000000,281000000,2547000000,3535000000,0.125,0,98456000000,27591000000,15694000000,12564000000,3970000000,4646000000,70865000000,9706000000,19233000000,-9527000000,33486000000,14941000000,6592000000,70904000000,24115000000,18116000000,18116000000,16483000000,5999000000,5999000000,46789000000,35626000000,35626000000,2714000000,2714000000,8449000000,27552000000,26013000000,72695000000,61639000000,26013000000,-7473000000,3476000000,67638000000,-7473000000,41625000000,7040000000,4324000000,4469000000,4469000000,2521000000,281000000,281000000,-471000000,-471000000,-883000000,-883000000,-322000000,-339000000,-3063000000,-3063000000,-628000000,-106000000,130000000,-236000000,12852000000,523000000,49000000,12280000000,-339000000,130000000,-236000000,4130000000
3/31/2023,62.299999,64.989998,61.860001,64.150002,63.164001,1.054,105.418,Buy,213353000,268279750000,295797750000,28.324,6.275,11.13,26.94,62.789,10980000000,10980000000,4317000000,6663000000,3296000000,3185000000,3367000000,890000000,4053000000,940000000,3107000000,3107000000,3113000000,3113000000,3107000000,0.72,0.72,4326000000,4345000000,3367000000,7613000000,3107000000,3107000000,4425000000,4711000000,4317000000,286000000,3107000000,4711000000,0.232,0,97404000000,26880000000,14295000000,12004000000,4599000000,4727000000,70524000000,9848000000,19241000000,-9393000000,33575000000,14897000000,6324000000,70536000000,23357000000,17091000000,17091000000,15593000000,6266000000,6266000000,47179000000,36134000000,36134000000,3171000000,3171000000,7874000000,26868000000,25217000000,72137000000,61351000000,25217000000,-8358000000,3523000000,67617000000,-8358000000,42400000000,7040000000,4325000000,160000000,160000000,3113000000,286000000,286000000,260000000,260000000,117000000,117000000,-255000000,-276000000,2065000000,2065000000,2900000000,-619000000,229000000,-848000000,12280000000,2342000000,113000000,9825000000,-276000000,229000000,-848000000,-116000000
12/31/2022,63.560001,63.720001,59.400002,61.32,59.9179,1.032,103.183,Buy,260737100,275082288723,301449288723,27.899,6.537,12.072,29.773,96.898,10125000000,10125000000,4513000000,5612000000,3537000000,3431000000,2075000000,586000000,2500000000,444000000,2031000000,2031000000,2056000000,2056000000,2031000000,0.47,0.47,4326000000,4347000000,2075000000,8050000000,2031000000,2031000000,2804000000,3111000000,4513000000,307000000,2031000000,3111000000,0.177,0,92763000000,22591000000,11631000000,9519000000,3487000000,4233000000,70172000000,9841000000,19075000000,-9234000000,33631000000,14849000000,6189000000,66937000000,19724000000,16952000000,16952000000,15749000000,2772000000,2772000000,47213000000,36377000000,36377000000,2914000000,2914000000,7922000000,25826000000,24105000000,71019000000,60482000000,24105000000,-9526000000,2867000000,63254000000,-9526000000,39149000000,7040000000,4328000000,2950000000,2950000000,2056000000,307000000,307000000,13000000,13000000,1426000000,1426000000,-679000000,-708000000,-5172000000,-5172000000,-1548000000,124000000,130000000,-6000000,9825000000,-796000000,187000000,10434000000,-708000000,130000000,-6000000,2242000000
9/30/2022,56.360001,60.91,54.02,59.849998,58.069668,0.939,93.948,Sell,325950900,242230480000,272512480000,25.464,5.898,10.529,24.633,69.008,11063000000,11063000000,4566000000,6497000000,3409000000,3279000000,3088000000,426000000,3444000000,622000000,2825000000,2825000000,2822000000,2822000000,2825000000,0.65,0.65,4325000000,4346000000,3088000000,7975000000,2825000000,2825000000,3642000000,3949000000,4566000000,307000000,2825000000,3949000000,0.181,0,92471000000,24139000000,13220000000,10127000000,3994000000,3708000000,68332000000,9243000000,18235000000,-8992000000,32946000000,14617000000,6130000000,68035000000,21439000000,17314000000,17314000000,16103000000,4125000000,4125000000,46596000000,35462000000,35462000000,3124000000,3124000000,8010000000,24436000000,22805000000,70893000000,58267000000,22805000000,-10141000000,2700000000,62392000000,-10141000000,39587000000,7040000000,4324000000,3522000000,3522000000,2822000000,307000000,307000000,-8000000,-8000000,-1044000000,-1044000000,-276000000,-289000000,-1128000000,-1128000000,-850000000,-147000000,55000000,-202000000,10434000000,1350000000,-231000000,9315000000,-289000000,55000000,-202000000,3233000000
6/30/2022,63.119999,64.449997,60.790001,64.169998,61.810516,1,100.037,Buy,275802300,272716657215,304061657215,26.544,6.815,10.977,26.849,108.439,11325000000,11325000000,4830000000,6495000000,4154000000,3203000000,2341000000,41000000,2284000000,384000000,1905000000,1905000000,1900000000,1900000000,1905000000,0.44,0.44,4331000000,4353000000,2341000000,8984000000,1905000000,1905000000,2482000000,2804000000,4830000000,322000000,1905000000,2804000000,0.168,0,93169000000,23141000000,11619000000,8976000000,4494000000,3621000000,70028000000,9462000000,18561000000,-9099000000,33888000000,14978000000,6470000000,68366000000,20531000000,15385000000,15385000000,14213000000,5146000000,5146000000,47835000000,36755000000,36755000000,3034000000,3034000000,8046000000,24803000000,23005000000,69970000000,59760000000,23005000000,-10883000000,2610000000,64906000000,-10883000000,41901000000,7040000000,4326000000,3923000000,3923000000,1900000000,322000000,322000000,-168000000,-168000000,-1291000000,-1291000000,-253000000,-270000000,-975000000,-975000000,1433000000,-461000000,203000000,-664000000,9315000000,1657000000,-334000000,7992000000,-270000000,203000000,-664000000,3653000000
3/31/2022,62.330002,67.199997,61.720001,64.610001,61.787926,1.067,106.711,Buy,319591200,268769685040,298905685040,27.556,6.961,11.686,28.492,75.405,10491000000,10491000000,4091000000,6400000000,2995000000,2967000000,3405000000,157000000,3458000000,665000000,2781000000,2781000000,2793000000,2793000000,2781000000,0.64,0.64,4332000000,4357000000,3405000000,7086000000,2781000000,2781000000,3640000000,3964000000,4091000000,324000000,2781000000,3964000000,0.192,0,94064000000,22156000000,10356000000,7681000000,4641000000,3741000000,71908000000,9784000000,18888000000,-9104000000,34740000000,15142000000,6392000000,67223000000,18787000000,14138000000,14138000000,13272000000,4649000000,4649000000,48436000000,37052000000,37052000000,3132000000,3132000000,8252000000,26841000000,24845000000,69969000000,61897000000,24845000000,-9895000000,3369000000,66546000000,-9895000000,41701000000,7040000000,4331000000,623000000,623000000,2793000000,324000000,324000000,41000000,41000000,146000000,146000000,-201000000,-217000000,-2975000000,-2975000000,7000000,-97000000,449000000,-546000000,7992000000,-2206000000,173000000,10025000000,-217000000,449000000,-546000000,406000000
12/31/2021,58.82,61.450001,58.380001,61.009998,57.901939,1.091,109.071,Buy,407891700,256083250000,282922250000,29.167,6.79,11.547,29.895,81.628,9464000000,9464000000,4088000000,5376000000,3704000000,3336000000,1672000000,1382000000,2960000000,510000000,2414000000,2414000000,2450000000,2450000000,2414000000,0.56,0.56,4321000000,4347000000,1672000000,7792000000,2414000000,2414000000,3125000000,3466000000,4088000000,341000000,2414000000,3466000000,0.173,0,94354000000,22545000000,12625000000,9684000000,3512000000,3414000000,71809000000,9920000000,18862000000,-8942000000,34613000000,15250000000,6731000000,69494000000,19950000000,15305000000,15305000000,14619000000,4645000000,4645000000,49544000000,38116000000,38116000000,2821000000,2821000000,8607000000,24860000000,22999000000,69094000000,61115000000,22999000000,-11614000000,2595000000,65760000000,-11614000000,42761000000,7040128924,4325128924,3394000000,3394000000,2450000000,341000000,341000000,168000000,168000000,-4684000000,-4684000000,-596000000,-639000000,-195000000,-195000000,1417000000,202000000,209000000,-7000000,10025000000,-1485000000,-103000000,11613000000,-639000000,209000000,-7000000,2755000000
9/30/2021,52.779999,56.470001,52.400002,56.369999,53.086636,0.996,99.589,Sell,331812000,226492983346,255458983346,28.059,6.239,10.18,25.439,69.874,10042000000,10042000000,3977000000,6065000000,3167000000,3122000000,2898000000,328000000,3084000000,609000000,2471000000,2471000000,2475000000,2475000000,2471000000,0.57,0.57,4318000000,4344000000,2898000000,7144000000,2471000000,2471000000,3294000000,3656000000,3977000000,362000000,2471000000,3656000000,0.197,0,90606000000,24240000000,14869000000,11301000000,3889000000,3182000000,66366000000,10058000000,19211000000,-9153000000,28400000000,10945000000,6490000000,66473000000,15990000000,13676000000,13676000000,12830000000,2314000000,2314000000,50483000000,39394000000,39394000000,2688000000,2688000000,8401000000,24133000000,22179000000,68494000000,61573000000,22179000000,-6221000000,8250000000,63887000000,-6221000000,41708000000,7040000000,4319000000,3706000000,3706000000,2475000000,362000000,362000000,226000000,226000000,166000000,166000000,-241000000,-278000000,-1629000000,-1629000000,16000000,151000000,151000000,0,11613000000,2243000000,-138000000,9508000000,-278000000,151000000,0,3428000000
6/30/2021,54.34,57.560001,53.549999,57.029999,53.305889,1.064,106.446,Buy,293385300,233305040891,265699040891,32.401,6.999,11.462,26.232,55.574,10129000000,10129000000,3787000000,6342000000,3326000000,3017000000,3016000000,1311000000,3618000000,994000000,2641000000,2641000000,2624000000,2624000000,2641000000,0.61,0.61,4313000000,4338000000,3016000000,7113000000,2641000000,2641000000,4398000000,4781000000,3787000000,383000000,2641000000,4781000000,0.275,0,90194000000,22481000000,13042000000,9188000000,4036000000,3281000000,67713000000,10547000000,19909000000,-9362000000,28906000000,11213000000,6553000000,65939000000,15299000000,13095000000,13095000000,12124000000,2204000000,2204000000,50640000000,39804000000,39804000000,2486000000,2486000000,8350000000,24255000000,22249000000,67838000000,62053000000,22249000000,-6657000000,7182000000,64257000000,-6657000000,42008000000,7040000000,4315000000,3889000000,3889000000,2624000000,383000000,383000000,123000000,123000000,2034000000,2034000000,-217000000,-234000000,-5326000000,-5326000000,-3749000000,159000000,159000000,0,9508000000,597000000,100000000,8811000000,-234000000,159000000,0,3655000000
