Date,Open,High,Low,Close,Adj Close,Volume,H3,L3,D,Class
1962-01-02,0.263021,0.270182,0.263021,0.263021,0.048528,806400,0.048528,0.048528,100.0,0
1962-01-03,0.259115,0.259115,0.253255,0.257161,0.047447,1574400,0.048528,0.047447,102.27833161211457,1
1962-01-04,0.257813,0.261068,0.257813,0.259115,0.047807,844800,0.048528,0.047447,102.27833161211457,1
1962-01-05,0.259115,0.26237,0.252604,0.253255,0.046726,1420800,0.047807,0.046726,102.31348713778196,1
1962-01-08,0.251302,0.251302,0.245768,0.250651,0.046246,2035200,0.047807,0.046246,103.37542706396228,1
1962-01-09,0.250651,0.25651,0.248698,0.255208,0.047087,960000,0.047087,0.046246,101.8185356571379,0
1962-01-10,0.255208,0.260091,0.252604,0.25651,0.047327,1612800,0.047327,0.046246,102.33749945941271,1
1962-01-11,0.25651,0.259115,0.255208,0.259115,0.047807,614400,0.047807,0.047087,101.52908446067919,0
1962-01-12,0.259115,0.259115,0.254557,0.257161,0.047447,883200,0.047807,0.047327,101.01422021256366,0
1962-01-15,0.25651,0.25651,0.253906,0.254557,0.046966,614400,0.047807,0.046966,101.79065707107269,0
1962-01-16,0.253906,0.253906,0.249674,0.25,0.046126,1113600,0.047447,0.046126,102.86389454971167,1
1962-01-17,0.25,0.25,0.242188,0.242188,0.044684,1574400,0.046966,0.044684,105.10697341330231,1
1962-01-18,0.242188,0.24349,0.236328,0.237305,0.043783,2649600,0.046126,0.043783,105.3513920928214,1
1962-01-19,0.239583,0.244792,0.239583,0.244792,0.045165,1459200,0.045165,0.043783,103.15647625790831,1
1962-01-22,0.244792,0.247396,0.242188,0.246745,0.045525,1075200,0.045525,0.043783,103.9787131991869,1
1962-01-23,0.246094,0.246094,0.241536,0.241536,0.044564,768000,0.045525,0.044564,102.15644915178173,1
1962-01-24,0.241536,0.242188,0.234375,0.238932,0.044084,2611200,0.045525,0.044084,103.26875964068599,1
1962-01-25,0.238932,0.242839,0.236979,0.236979,0.043723,1574400,0.044564,0.043723,101.92347277176772,0
1962-01-26,0.236979,0.236979,0.233073,0.234375,0.043243,1574400,0.044084,0.043243,101.94482343963185,0
1962-01-29,0.234375,0.235026,0.233724,0.234375,0.043243,307200,0.043723,0.043243,101.11000624378512,0
1962-01-30,0.234375,0.236328,0.233398,0.233398,0.043063,1574400,0.043243,0.043063,100.41799224392169,0
1962-01-31,0.234375,0.242839,0.234375,0.242839,0.044804,1766400,0.044804,0.043063,104.04291387037597,1
1962-02-01,0.244792,0.248698,0.244792,0.244792,0.045165,1420800,0.045165,0.043063,104.88122053735225,1
1962-02-02,0.244792,0.247396,0.240885,0.247396,0.045645,1152000,0.045645,0.044804,101.87706454780823,0
1962-02-05,0.247396,0.247396,0.245443,0.247396,0.045645,384000,0.045645,0.045165,101.06276984390567,0
1962-02-06,0.247396,0.247396,0.244141,0.244141,0.045045,691200,0.045645,0.045045,101.33200133200133,0
1962-02-07,0.244141,0.245443,0.244141,0.245443,0.045285,192000,0.045645,0.045045,101.33200133200133,0
1962-02-08,0.245443,0.247396,0.242839,0.246094,0.045405,768000,0.045405,0.045045,100.79920079920079,0
1962-02-09,0.246094,0.247396,0.244792,0.247396,0.045645,729600,0.045645,0.045285,100.7949652202716,0
1962-02-12,0.247396,0.248047,0.245443,0.245443,0.045285,307200,0.045645,0.045285,100.7949652202716,0
1962-02-13,0.245443,0.246745,0.245443,0.245443,0.045285,652800,0.045645,0.045285,100.7949652202716,0
